ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
TB24018288,"05/07/2024, 3:18:12 PM","05/08/2024, 1:09:38 PM",THUNDER BAY,ON,P7G 1J4,FASSINA ST AND VALLEY ST, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24018293,"05/07/2024, 3:45:13 PM","05/08/2024, 1:09:38 PM",THUNDER BAY,ON,P7A 5V8,VAN NORMAN ST AND HILL ST N, TBPS] MOTOR VEHICLE COLLISION MVC - AMB ENR - DUAL RESP,Other,MOTOR VEHICLE COLLISION
TB24018300,"05/07/2024, 4:41:41 PM","05/08/2024, 1:09:38 PM",THUNDER BAY,ON,P7A 4K8,1 Block CUMBERLAND ST N, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24018306,"05/07/2024, 5:32:08 PM","05/08/2024, 1:09:38 PM",THUNDER BAY,ON,P7B 4A3,1000 Block MEMORIAL AV, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24018313,"05/07/2024, 6:19:50 PM","05/08/2024, 1:09:38 PM",THUNDER BAY,ON,P7E 3V7,100 Block FREDERICA ST W, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24018315,"05/07/2024, 6:38:06 PM","05/08/2024, 1:09:38 PM",THUNDER BAY,ON,.,CENTRAL AV AND GOLF LINKS RD, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24018318,"05/07/2024, 7:35:07 PM","05/08/2024, 1:09:38 PM",THUNDER BAY,ON,P7B 2B5,600 Block MONTGOMERY ST, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24018320,"05/07/2024, 7:52:03 PM","05/08/2024, 1:09:38 PM",THUNDER BAY,ON,P7B 2X8,JOHN ST AND COURT ST S, TBPS] MOTOR VEHICLE COLLISION MVC - AMB ENR - DUAL RESP,Other,MOTOR VEHICLE COLLISION
TB24018264,"05/07/2024, 9:42:41 AM","05/08/2024, 1:09:39 PM",THUNDER BAY,ON,P7B 1V6,200 Block WINDSOR ST," TBPS] MISCHIEF IP/SUSP IN AREA, UNDER 5,000",Other Property Crime,MISCHIEF
TB24018344,"05/07/2024, 11:31:11 PM","05/08/2024, 1:10:04 PM",THUNDER BAY,ON,P7B 5V1,DAWSON RD AND EAST AV, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24018550,"05/09/2024, 3:15:57 AM","05/09/2024, 1:04:46 PM",THUNDER BAY,ON,P7B 7C6,900 Block CARRICK ST, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24018555,"05/09/2024, 3:50:29 AM","05/09/2024, 1:04:46 PM",THUNDER BAY,ON,P7E 5H5,800 Block RIDGEWAY ST E, TBPS] DRUG OFFENCES SUSP PRESENT OR MAY STILL BE IN AREA,Quality of Life,DRUG OFFENCES
TB24018564,"05/09/2024, 4:43:45 AM","05/09/2024, 1:04:46 PM",THUNDER BAY,ON,P7E 5V3,500 Block DONALD ST E, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24018557,"05/09/2024, 4:03:15 AM","05/09/2024, 1:04:46 PM",THUNDER BAY,ON,P7B 5E3,1000 Block DAWSON RD, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24018568,"05/09/2024, 4:53:53 AM","05/09/2024, 1:04:46 PM",THUNDER BAY,ON,P7E 2H4,700 Block EDWARD ST S," TBPS] MISCHIEF IP/SUSP IN AREA, UNDER 5,000",Other Property Crime,MISCHIEF
