ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
TB24042784,"10/12/2024, 5:44:13 PM","10/13/2024, 1:06:59 PM",THUNDER BAY,ON,P7C 2S1,SIMPSON ST AND PACIFIC AV, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24042808,"10/12/2024, 8:35:01 PM","10/13/2024, 1:07:00 PM",THUNDER BAY,ON,P7B 5L6,300 Block MAIN ST, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042807,"10/12/2024, 8:30:57 PM","10/13/2024, 1:07:00 PM",THUNDER BAY,ON,P7C 3X8,100 Block CENTENNIAL SQ, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042936,"10/13/2024, 8:46:27 PM","10/14/2024, 1:08:11 PM",THUNDER BAY,ON,P7A 3S4,600 Block RIVER ST, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24042946,"10/13/2024, 10:15:09 PM","10/14/2024, 1:08:11 PM",THUNDER BAY,ON,P7E 5R8,600 Block ARTHUR ST W, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042978,"10/14/2024, 2:11:35 AM","10/14/2024, 1:08:11 PM",THUNDER BAY,ON,P7B 6B9,1000 Block FORT WILLIAM RD, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24042897,"10/13/2024, 10:12:25 AM","10/14/2024, 1:08:12 PM",THUNDER BAY,ON,P7B 6J7,100 Block PICTON AV, TBPS] TROUBLE WITH YOUTH YOUTHS STILL IN AREA,Quality of Life,TROUBLE WITH YOUTH
TB24042973,"10/14/2024, 1:46:04 AM","10/14/2024, 1:08:12 PM",THUNDER BAY,ON,P7C 4A8,800 Block MCKELLAR ST N," TBPS] MISCHIEF IP/SUSP IN AREA, MICHIEF OVER 5000",Other Property Crime,MISCHIEF
TB24042990,"10/14/2024, 4:31:49 AM","10/14/2024, 1:08:12 PM",THUNDER BAY,ON,P7C 1B6,VICTORIA AV E AND VICKERS ST N, TBPS] STOLEN VEHICLE SUSP PRESENT OR MAY STILL BE IN AREA,Theft of Vehicle,STOLEN VEHICLE
TB24042853,"10/13/2024, 2:28:15 AM","10/14/2024, 1:08:13 PM",THUNDER BAY,ON,P7B 5J4,1000 Block DAWSON RD, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24042885,"10/13/2024, 8:09:42 AM","10/14/2024, 1:08:13 PM",THUNDER BAY,ON,P7B 5J4,1000 Block DAWSON RD, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24042893,"10/13/2024, 9:15:23 AM","10/14/2024, 1:08:13 PM",THUNDER BAY,ON,P7A 3B4,200 Block MCINTYRE ST," TBPS] MISCHIEF IP/SUSP IN AREA, UNDER 5,000",Other Property Crime,MISCHIEF
TB24042906,"10/13/2024, 3:21:06 PM","10/14/2024, 1:08:13 PM",THUNDER BAY,ON,P7C 1N1,100 Block GLENDALE CR, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24042911,"10/13/2024, 4:15:28 PM","10/14/2024, 1:08:13 PM",THUNDER BAY,ON,P7C 3Z9,400 Block MCKELLAR ST N, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
TB24042925,"10/13/2024, 7:21:19 PM","10/14/2024, 1:08:13 PM",THUNDER BAY,ON,P7B 0A9,300 Block MAIN ST, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24042930,"10/13/2024, 8:05:08 PM","10/14/2024, 1:08:13 PM",THUNDER BAY,ON,P7B,GOLF LINKS RD AND SUNRISE BLVD, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24042847,"10/13/2024, 1:17:12 AM","10/14/2024, 1:08:14 PM",THUNDER BAY,ON,P7C 4Y7,300 Block LILLIE ST N, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24042524,"10/11/2024, 5:39:33 AM","10/14/2024, 1:09:04 PM",THUNDER BAY,ON,P7A,1 Block NORTH WATER ST, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24043091,"10/15/2024, 3:12:33 AM","10/15/2024, 1:03:52 PM",THUNDER BAY,ON,P7E 5M8,900 Block ARTHUR ST E, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042633,"10/11/2024, 8:15:41 PM","10/15/2024, 1:03:53 PM",THUNDER BAY,ON,P7B 3B6,1 Block ALGOMA ST S, TBPS] B-E BUS/RES/OTH 11-10,Breaking & Entering,B-E BUS/RES/OTH
TB24043026,"10/14/2024, 4:43:13 PM","10/15/2024, 1:03:53 PM",THUNDER BAY,ON,P7B 1K2,RED RIVER RD AND JUNOT AV N, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24043053,"10/14/2024, 9:10:36 PM","10/15/2024, 1:03:53 PM",THUNDER BAY,ON,P7C 1C1,1200 Block VICTORIA AV E," TBPS] THEFT NOT IN PROGRESS, FROM MOTOR VEHICLE",Theft from Vehicle,THEFT
TB24043084,"10/15/2024, 1:58:08 AM","10/15/2024, 1:03:54 PM",THUNDER BAY,ON,P7E 5R8,600 Block ARTHUR ST W, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24043058,"10/14/2024, 9:24:57 PM","10/15/2024, 1:03:54 PM",THUNDER BAY,ON,P7C 3R2,300 Block MAY ST N, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042788,"10/12/2024, 6:09:08 PM","10/15/2024, 1:03:55 PM",THUNDER BAY,ON,P7B 6A9,600 Block SHERRINGTON DR, TBPS] B-E BUS/RES/OTH 11-10,Breaking & Entering,B-E BUS/RES/OTH
TB24042872,"10/13/2024, 4:46:40 AM","10/15/2024, 1:03:55 PM",THUNDER BAY,ON,P7E 5P4,2800 Block ARTHUR ST E, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24042965,"10/14/2024, 12:47:49 AM","10/15/2024, 1:03:55 PM",THUNDER BAY,ON,P7C 3S2,800 Block MAY ST N, TBPS] B-E BUS/RES/OTH 11-10,Breaking & Entering,B-E BUS/RES/OTH
TB24043006,"10/14/2024, 8:17:20 AM","10/15/2024, 1:03:55 PM",THUNDER BAY,ON,P7E 5N3,1300 Block ARTHUR ST E, TBPS] ROBBERY NO WEAPONS - SUSP STILL IN AREA,Robbery,ROBBERY
TB24042525,"10/11/2024, 5:52:22 AM","10/16/2024, 1:04:23 PM",THUNDER BAY,ON,P7A 5P7,100 Block THERESA ST, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24042830,"10/12/2024, 11:15:45 PM","10/16/2024, 1:05:09 PM",THUNDER BAY,ON,P7B 5L6,300 Block MAIN ST," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24043209,"10/16/2024, 1:05:46 AM","10/16/2024, 1:06:00 PM",THUNDER BAY,ON,.,100 Block PEARL ST, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24043229,"10/16/2024, 3:42:32 AM","10/16/2024, 1:06:00 PM",THUNDER BAY,ON,P7A 6H1,1 Block JUNOT AV N, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24043233,"10/16/2024, 4:30:40 AM","10/16/2024, 1:06:00 PM",THUNDER BAY,ON,P7C 3C6,600 Block MCTAVISH ST," TBPS] MISCHIEF IP/SUSP IN AREA, MICHIEF OVER 5000",Other Property Crime,MISCHIEF
TB24043250,"10/16/2024, 8:11:40 AM","10/16/2024, 1:06:00 PM",THUNDER BAY,ON,P7B 6H3,300 Block TAMARACK PL, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24043174,"10/15/2024, 8:37:35 PM","10/16/2024, 1:06:01 PM",THUNDER BAY,ON,P7C 3P8,200 Block MAY ST N," TBPS] ASSAULT JUST OCCURRED, ACCUSED NOT PRESENT",Assault,ASSAULT
TB24043202,"10/16/2024, 12:08:05 AM","10/16/2024, 1:06:01 PM",THUNDER BAY,ON,P7B 4G9,1 Block HODGE ST, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
TB24043206,"10/16/2024, 12:45:41 AM","10/16/2024, 1:06:01 PM",THUNDER BAY,ON,P7E 5V7,1100 Block LINCOLN ST, TBPS] DRUG OFFENCES SUSP PRESENT OR MAY STILL BE IN AREA,Quality of Life,DRUG OFFENCES
TB24043227,"10/16/2024, 3:36:03 AM","10/16/2024, 1:06:01 PM",THUNDER BAY,ON,P7A 6G8,1 Block STARDUST CR, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
TB24043155,"10/15/2024, 6:21:56 PM","10/16/2024, 1:06:02 PM",THUNDER BAY,ON,P7B 2X5,100 Block COURT ST S, TBPS] B-E BUS/RES/OTH 11-10,Breaking & Entering,B-E BUS/RES/OTH
TB24043148,"10/15/2024, 5:53:27 PM","10/16/2024, 1:06:02 PM",THUNDER BAY,ON,J4Y 0K7,500 Block ARTHUR ST W, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24043172,"10/15/2024, 8:14:07 PM","10/16/2024, 1:06:02 PM",THUNDER BAY,ON,P7E 5P4,2800 Block ARTHUR ST E, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24043164,"10/15/2024, 7:27:10 PM","10/16/2024, 1:06:02 PM",THUNDER BAY,ON,P7B 5Z5,1200 Block BALMORAL ST," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24043188,"10/15/2024, 10:15:14 PM","10/16/2024, 1:06:02 PM",THUNDER BAY,ON,P0T 2G0,300 Block MUD LAKE RD," TBPS] MISCHIEF 11-10, MICHIEF OVER 5000",Other Property Crime,MISCHIEF
TB24043121,"10/15/2024, 2:37:28 PM","10/16/2024, 1:06:03 PM",THUNDER BAY,ON,P7A 4S2,500 Block CUMBERLAND ST N," TBPS] MISCHIEF IP/SUSP IN AREA, UNDER 5,000",Other Property Crime,MISCHIEF
TB24043123,"10/15/2024, 2:47:19 PM","10/16/2024, 1:06:03 PM",THUNDER BAY,ON,P7B 2G1,OLIVER RD AND HIGH ST S, TBPS] MOTOR VEHICLE COLLISION MVC INJURIES FIRE NOT REQ,Traffic,MOTOR VEHICLE COLLISION
TB24043126,"10/15/2024, 3:02:46 PM","10/16/2024, 1:06:03 PM",THUNDER BAY,ON,P7A 4K8,1000 Block DAWSON RD, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24043125,"10/15/2024, 2:56:01 PM","10/16/2024, 1:06:03 PM",THUNDER BAY,ON,P7B 5R6,400 Block 11TH AV, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24043130,"10/15/2024, 3:26:40 PM","10/16/2024, 1:06:03 PM",THUNDER BAY,ON,P7B 6V4,900 Block OLIVER RD, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24043131,"10/15/2024, 3:37:21 PM","10/16/2024, 1:06:03 PM",THUNDER BAY,ON,P7B,MEMORIAL AV AND HARBOUR EXPRESSWAY, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
